               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10064,            0.051574,            0.035684,             0.38628,            0.076484,            0.018329,           0.0048143,            0.083327,            0.050764,            0.031262,             0.07018,           0.0033134,           0.0033134
                   1,             0.07743,            0.051545,            0.025589,             0.12351,             0.19195,            0.075378,            0.023958,            0.072535,            0.048757,            0.021115,            0.040048,           0.0065151,           0.0065151
                   2,              0.0709,            0.049052,            0.017413,             0.22864,             0.22833,             0.14406,            0.043967,            0.071617,            0.047572,            0.018185,           0.0097844,           0.0095848,           0.0095848
                   3,            0.065801,            0.049758,            0.014653,             0.21132,             0.25664,              0.1271,             0.03661,            0.071577,            0.054496,              0.0174,            0.009406,            0.009406,            0.009406
                   4,            0.063425,            0.048181,            0.012365,             0.33718,             0.27018,             0.23075,            0.066496,            0.066347,            0.049493,            0.017018,            0.009406,            0.009406,            0.009406
                   5,              0.0614,            0.049622,            0.010804,             0.38169,             0.30705,             0.26502,            0.084718,            0.065368,            0.047802,            0.013751,            0.009208,            0.009208,            0.009208
                   6,            0.059279,            0.047486,           0.0099347,               0.439,             0.30352,             0.29621,            0.098961,            0.064808,            0.047087,            0.017425,             0.00901,             0.00901,             0.00901
                   7,            0.058702,            0.046857,           0.0090421,             0.44183,             0.37803,             0.33586,             0.11387,            0.063745,            0.046883,            0.012407,            0.008812,            0.008812,            0.008812
                   8,            0.057295,             0.04651,           0.0081172,             0.44801,             0.37043,             0.34324,             0.11148,            0.062291,            0.046631,            0.013729,            0.008614,            0.008614,            0.008614
                   9,            0.056272,            0.045524,           0.0078879,             0.49666,              0.3478,              0.3358,             0.11051,            0.062842,            0.047146,            0.014768,            0.008416,            0.008416,            0.008416
                  10,            0.055507,            0.044887,            0.007316,             0.47167,             0.37702,             0.35277,             0.12002,             0.06212,            0.051915,              0.0115,            0.008218,            0.008218,            0.008218
                  11,            0.054621,              0.0446,           0.0069832,             0.49725,             0.37202,             0.35933,             0.12094,            0.062303,            0.047227,            0.015908,             0.00802,             0.00802,             0.00802
                  12,            0.054504,            0.044025,           0.0067447,             0.52636,             0.38186,             0.38329,             0.13502,            0.061865,            0.048053,            0.014829,            0.007822,            0.007822,            0.007822
                  13,            0.053628,            0.043529,           0.0063242,             0.51819,             0.41356,             0.40391,             0.14641,             0.06093,            0.046702,            0.012517,            0.007624,            0.007624,            0.007624
                  14,             0.05271,            0.043442,           0.0060369,             0.52933,             0.41077,              0.4005,             0.13682,            0.061562,            0.046579,            0.013755,            0.007426,            0.007426,            0.007426
                  15,            0.052347,            0.043943,           0.0057142,             0.58756,             0.39191,             0.41093,             0.14831,            0.060116,            0.049826,            0.018678,            0.007228,            0.007228,            0.007228
                  16,            0.051653,            0.042002,           0.0052015,             0.54857,             0.42593,             0.41848,             0.15294,            0.060094,            0.049128,            0.014746,             0.00703,             0.00703,             0.00703
                  17,            0.050913,            0.042332,           0.0052482,             0.60048,             0.41684,             0.41969,             0.14839,            0.060239,            0.050613,            0.018981,            0.006832,            0.006832,            0.006832
                  18,            0.050864,            0.042022,           0.0050196,             0.55125,             0.43605,             0.43529,             0.16124,            0.059277,            0.047351,            0.016502,            0.006634,            0.006634,            0.006634
                  19,            0.050425,            0.042007,           0.0050842,             0.56757,             0.39054,             0.39959,             0.14436,            0.060081,            0.050457,            0.018745,            0.006436,            0.006436,            0.006436
                  20,            0.050133,            0.040978,           0.0050869,              0.5708,             0.46075,             0.44806,             0.16101,              0.0597,            0.047794,             0.01477,            0.006238,            0.006238,            0.006238
                  21,            0.049356,            0.040319,           0.0046124,             0.58498,             0.43196,                0.45,             0.16924,            0.060128,            0.048153,            0.012353,             0.00604,             0.00604,             0.00604
                  22,             0.04888,            0.039836,            0.004096,             0.55276,             0.43881,             0.43536,             0.15644,            0.060142,            0.046518,            0.013154,            0.005842,            0.005842,            0.005842
                  23,            0.048987,            0.039924,           0.0042104,             0.60089,             0.42153,             0.43688,             0.16349,            0.060523,            0.048296,            0.015527,            0.005644,            0.005644,            0.005644
                  24,            0.048334,            0.040627,            0.003907,             0.58414,             0.44199,             0.44466,             0.16904,            0.060088,            0.047859,            0.013107,            0.005446,            0.005446,            0.005446
                  25,            0.048293,            0.039544,           0.0040855,             0.57445,             0.43051,              0.4284,             0.16091,            0.062153,            0.048254,             0.01341,            0.005248,            0.005248,            0.005248
                  26,            0.048075,            0.039079,           0.0037967,             0.61702,             0.44383,             0.45075,             0.17028,            0.059541,             0.04983,            0.022295,             0.00505,             0.00505,             0.00505
                  27,            0.047238,            0.040107,           0.0038641,             0.58649,              0.4547,             0.45732,             0.17048,            0.060216,            0.048068,            0.011961,            0.004852,            0.004852,            0.004852
                  28,            0.046825,            0.039242,           0.0033598,             0.60861,              0.4576,             0.45945,             0.17194,            0.060497,            0.049134,            0.015167,            0.004654,            0.004654,            0.004654
                  29,            0.046682,            0.038906,           0.0035793,             0.58659,             0.46561,             0.46219,             0.17524,            0.059984,            0.048588,            0.015121,            0.004456,            0.004456,            0.004456
                  30,            0.046671,            0.038761,            0.003538,             0.59893,             0.46948,              0.4613,             0.17263,            0.059975,            0.050253,            0.013289,            0.004258,            0.004258,            0.004258
                  31,            0.045881,            0.037726,           0.0034343,             0.64009,             0.45672,             0.46395,             0.17741,            0.059826,            0.050245,            0.017938,             0.00406,             0.00406,             0.00406
                  32,            0.046094,            0.038198,           0.0032375,             0.59037,             0.47767,             0.47407,             0.18124,            0.059143,            0.050548,            0.013995,            0.003862,            0.003862,            0.003862
                  33,            0.045147,            0.037294,           0.0030968,             0.65408,             0.46633,             0.47624,              0.1805,             0.05971,            0.051125,            0.018157,            0.003664,            0.003664,            0.003664
                  34,            0.044948,            0.037109,           0.0031518,             0.65174,             0.47036,             0.48431,             0.18647,            0.058958,            0.051143,             0.01758,            0.003466,            0.003466,            0.003466
                  35,            0.044559,            0.036693,            0.002667,              0.6454,             0.45223,              0.4824,              0.1881,            0.058757,            0.049716,            0.016263,            0.003268,            0.003268,            0.003268
                  36,             0.04428,              0.0365,            0.002663,             0.60653,             0.48454,             0.47626,             0.18246,            0.058989,            0.048804,             0.01539,             0.00307,             0.00307,             0.00307
                  37,             0.04382,              0.0363,           0.0029577,              0.6275,             0.47679,             0.48924,             0.18582,            0.059789,            0.050559,            0.013896,            0.002872,            0.002872,            0.002872
                  38,            0.043538,            0.035269,           0.0025075,             0.61184,             0.48195,             0.48045,             0.18905,            0.058757,            0.049559,            0.019606,            0.002674,            0.002674,            0.002674
                  39,             0.04336,            0.035767,           0.0028643,             0.62669,             0.49127,             0.49218,             0.19035,            0.059041,            0.050553,            0.014769,            0.002476,            0.002476,            0.002476
                  40,            0.043154,            0.036417,           0.0027279,             0.63153,             0.49096,             0.48871,             0.19355,            0.059653,            0.052234,            0.017992,            0.002278,            0.002278,            0.002278
                  41,             0.04276,            0.035552,           0.0023206,             0.63174,             0.48291,             0.48552,             0.18853,            0.059145,             0.05254,            0.019067,             0.00208,             0.00208,             0.00208
                  42,            0.042569,            0.035762,           0.0023467,             0.60399,             0.50423,               0.493,             0.19245,             0.05923,            0.051897,            0.017189,            0.001882,            0.001882,            0.001882
                  43,            0.042202,            0.035499,           0.0021233,             0.64538,             0.48995,             0.49337,             0.19597,            0.058675,            0.052414,            0.019424,            0.001684,            0.001684,            0.001684
                  44,            0.042058,            0.035241,           0.0022191,             0.64719,             0.48794,             0.49715,             0.19565,            0.059521,            0.053285,            0.018111,            0.001486,            0.001486,            0.001486
                  45,            0.041614,            0.035866,            0.002167,             0.63682,             0.49204,             0.49005,              0.1944,            0.059022,            0.052677,            0.018554,            0.001288,            0.001288,            0.001288
                  46,            0.041485,            0.034785,           0.0021334,             0.64551,             0.50317,             0.50287,             0.19731,            0.059164,            0.051791,            0.017031,             0.00109,             0.00109,             0.00109
                  47,             0.04083,            0.034269,           0.0018624,             0.65075,             0.49167,             0.49627,             0.19861,            0.059141,            0.052389,            0.017947,            0.000892,            0.000892,            0.000892
                  48,            0.041131,            0.034408,           0.0020905,             0.65487,             0.48852,             0.49599,             0.20131,            0.058988,            0.052741,            0.016833,            0.000694,            0.000694,            0.000694
                  49,            0.040819,            0.033602,           0.0020295,             0.65727,             0.48927,             0.50001,             0.19877,            0.058982,            0.053163,            0.017225,            0.000496,            0.000496,            0.000496
